"acci_id","acci_time","acci_name","acci_x","acci_y"
"3443323526","12/02/2019 18:00:13","تعطل مركبة على طريق عام","25.015994000000","55.135174400000"
"3443346138","12/02/2019 18:58:48","حادث اصطدام بين سيارتين- بسيط","25.209557200000","55.265157000000"
"3443335758","12/02/2019 18:29:55","حادث اصطدام بين سيارتين- بسيط","24.960711300000","55.054372900000"
"3443342268","12/02/2019 18:48:21","تعطل مركبة على طريق عام","25.255279700000","55.385368000000"
"3443347425","12/02/2019 19:02:02","حادث اصطدام بين سيارتين- بسيط","25.220824800000","55.427275000000"
"3443348281","12/02/2019 19:04:55","تعطل مركبة على طريق عام","25.058411400000","55.272016600000"
"3443348498","12/02/2019 19:05:44","وجود جسم في الشارع","25.137541200000","55.349837300000"
"3443348691","12/02/2019 19:06:13","حادث اصطدام بين سيارتين- بسيط","25.038565400000","55.219735900000"
"3443351581","12/02/2019 19:14:10","حادث صدم و هروب- بسيط","24.959951000000","55.052140400000"
"3443350920","12/02/2019 19:11:23","حادث صدم عمود- بسيط","24.804668900000","55.217865600000"
"3443355223","12/02/2019 19:23:32","حادث اصطدام بين سيارتين- بسيط","24.815131500000","55.243549300000"
"3443350890","12/02/2019 19:11:19","حادث ضد مجهول- بسيط","25.166240600000","55.413717200000"
"3443350595","12/02/2019 19:10:17","حادث ضد مجهول- بسيط","25.072597000000","55.144844200000"
"3443355223","12/02/2019 19:23:32","حادث اصطدام بين سيارتين- بسيط","24.920517600000","55.104055700000"
"3443338990","12/02/2019 18:40:51","تطاير أجسام على مركبة","25.049704900000","55.197792300000"
"3443323445","12/02/2019 18:00:03","تعطل مركبة على طريق عام","25.125667800000","55.374236400000"
"3443346260","12/02/2019 18:59:18","تعطل مركبة على طريق عام","24.998236000000","55.182383800000"
"3443340163","12/02/2019 18:43:32","حادث اصطدام بين سيارتين- بسيط","24.919062600000","55.104489000000"
"3443340515","12/02/2019 18:44:27","تعطل مركبة على طريق عام","25.127583900000","55.373986400000"
"3443343571","12/02/2019 18:50:34","وجود جسم في الشارع","25.255372300000","55.406640500000"
"3443339539","12/02/2019 18:42:14","وجود جسم في الشارع","25.062009300000","55.197792400000"
"3443334203","12/02/2019 18:26:26","تعطل مركبة على طريق عام","25.237616700000","55.375439100000"
"3443333061","12/02/2019 18:23:58","حادث اصطدام بين سيارتين- بسيط","25.293521200000","55.401511800000"
"3443322809","12/02/2019 17:58:03","حادث صدم عمود- بليغ","25.158338500000","55.391644900000"
"3443317973","12/02/2019 17:46:23","حادث صدم عمود- بسيط","25.265090000000","55.325899600000"
"3443319973","12/02/2019 17:50:40","حادث صدم دراجة- بسيط","25.279066300000","55.339632600000"
"3443300141","12/02/2019 17:02:36","تعطل مركبة على طريق عام","24.976907100000","55.138406600000"
"3443317247","12/02/2019 17:44:54","حادث صدم و هروب- بسيط","25.100015700000","55.171989900000"
"3443321299","12/02/2019 17:53:11","حادث ضد مجهول- بسيط","25.146541700000","55.254622900000"
"3443315653","12/02/2019 17:41:46","حادث صدم عمود- بسيط","25.223436600000","55.282127800000"
